country_code,country_name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
ABW,Aruba,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,,,,,0.166,,,,,0.08,,,,,,,0.077,,,,,,,0.042100001,,,,,,0.0594,,,,,,,,,,,,,,0.116300002,,,,,0.076061778,,,,
ALB,Albania,,1.145,1.113,1.153,,,1.146,1.15,,,,1.305,,1.389,1.282,1.289,1.295,1.354,1.306,1.315399051,1.425400019,1.650099993,1.470299959,1.37409997,1.403300047,,,,1.406299949,1.406599998,1.414800048,,,1.366799951,,,1.036499977,,,,,0.845499992,0.910899997,0.739499986,,,,,0.481283426,,,,
ANR,Andean Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,,,,1.380235757,,,,,,,,,,1.185741567,,,,,,,,,,0.716390398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,,,,1.93,,,1.93,,1.545,,,1.69,2.023,,,,1.81,,,,,0.839999974,,0.827499986,,,,,,0.953199983,,,,1.068099976,,,,,,,,,,0.909099996,,,,,,,,,
ARG,Argentina,,,,3.21,,,,,3.21,3.155,,,,,,3.01,,,2.68,,,2.684000015,,2.680000067,,3.032000065,,2.984400034,2.704999924,2.683300018,,,,,,,,,1.869300008,,,,,1.892199993,,,,,1.666651726,,,,
ARM,Armenia,,2.687,2.845,3.762,,,3.697,3.7,,,3.588,,3.526,2.987,3.051,3.156,3.156,3.591,3.042,3.122100115,3.345499992,3.596999884,3.701499939,3.924400091,3.881200075,3.762700081,3.735500097,3.673899889,3.577199936,3.50090003,3.453500032,3.405800104,3.277899981,3.210500002,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,,,,,,,,,,,,,,,0.781,,,,,,,,,,,,,,,0.772300005,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,0.169,,,1.141,0.76,,3.030299902,,0.918500006,0.759999991,,,,,,,,,,,,,,,,,,,,0.349299997,,,,,,,,,
